ID,proposalNumber,proposalDate,proposalType,proposalStatus,totalAmount,negotiateAmount,customerRemarks,submittedAt,customer_ID,createdAt,createdBy,modifiedAt,modifiedBy
650e8400-e29b-41d4-a716-446655449001,PROP-2026-0001,2026-02-10,Rental,Submitted,285000.00,270000.00,Need the equipment for highway construction project for three months,2026-02-10T10:15:00Z,550e8400-e29b-41d4-a716-446655448001,2026-02-10T10:00:00Z,admin,2026-02-10T10:15:00Z,admin
650e8400-e29b-41d4-a716-446655449002,PROP-2026-0002,2026-02-12,Rental,Approved,420000.00,400000.00,Required for road development and material grading activities,2026-02-12T11:30:00Z,550e8400-e29b-41d4-a716-446655448002,2026-02-12T11:10:00Z,admin,2026-02-13T09:20:00Z,manager
650e8400-e29b-41d4-a716-446655449003,PROP-2026-0003,2026-02-15,Rental,Under Review,680000.00,640000.00,Equipment needed for excavation and foundation work at project site,2026-02-15T14:20:00Z,550e8400-e29b-41d4-a716-446655448003,2026-02-15T14:00:00Z,admin,2026-02-15T14:20:00Z,admin
650e8400-e29b-41d4-a716-446655449004,PROP-2026-0004,2026-02-18,Rental,Rejected,195000.00,185000.00,Customer requested a lower rental price based on long term usage,2026-02-18T09:45:00Z,550e8400-e29b-41d4-a716-446655448004,2026-02-18T09:20:00Z,admin,2026-02-18T13:10:00Z,manager
650e8400-e29b-41d4-a716-446655449005,PROP-2026-0005,2026-02-20,Rental,Approved,850000.00,825000.00,Heavy equipment required for large scale infrastructure development,2026-02-20T10:30:00Z,550e8400-e29b-41d4-a716-446655448005,2026-02-20T10:10:00Z,admin,2026-02-21T11:00:00Z,manager
650e8400-e29b-41d4-a716-446655449006,PROP-2026-0006,2026-02-22,Rental,Submitted,1250000.00,1180000.00,Mining equipment required for overburden removal and material transportation,2026-02-22T12:00:00Z,550e8400-e29b-41d4-a716-446655448006,2026-02-22T11:40:00Z,admin,2026-02-22T12:00:00Z,admin
650e8400-e29b-41d4-a716-446655449007,PROP-2026-0007,2026-02-25,Rental,Approved,560000.00,535000.00,Required for quarry operations and loading activities,2026-02-25T15:10:00Z,550e8400-e29b-41d4-a716-446655448007,2026-02-25T14:50:00Z,admin,2026-02-26T10:15:00Z,manager
650e8400-e29b-41d4-a716-446655449008,PROP-2026-0008,2026-02-28,Rental,Under Review,735000.00,700000.00,Need excavator and attachment for mineral extraction project,2026-02-28T09:30:00Z,550e8400-e29b-41d4-a716-446655448008,2026-02-28T09:10:00Z,admin,2026-02-28T09:30:00Z,admin
650e8400-e29b-41d4-a716-446655449009,PROP-2026-0009,2026-03-02,Rental,Approved,475000.00,460000.00,Required for quarry road maintenance and mining site development,2026-03-02T11:20:00Z,550e8400-e29b-41d4-a716-446655448009,2026-03-02T11:00:00Z,admin,2026-03-03T09:45:00Z,manager
650e8400-e29b-41d4-a716-446655449010,PROP-2026-0010,2026-03-05,Rental,Submitted,325000.00,310000.00,Equipment required for urban road construction and site preparation,2026-03-05T13:30:00Z,550e8400-e29b-41d4-a716-446655448010,2026-03-05T13:10:00Z,admin,2026-03-05T13:30:00Z,admin
650e8400-e29b-41d4-a716-446655449020,PROP-2026-0011,2026-09-16,Rental,Submitted,567320.00,34000.00,Required for quarry road maintenance and mining site development,2026-03-05T13:30:00Z,550e8400-e29b-41d4-a716-446655448009,2026-03-02T11:00:00Z,admin,2026-03-03T09:45:00Z,manager
